ID,Title,Company,Location,Condition,Job Date,Badge,Apply URL
48929333,2024년 9월 LG화학 신입사원 모집,(주)LG화학,서울 강서구,신입 대졸↑,~ 09/23(월),연구·R&D 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48929333
48932501,"2024년 하반기 시스템 설계 엔지니어, 제어 엔지니어 분야 신규채용 공고",카페스(주),서울 송파구,신입·경력 대졸↑ 정규직,내일마감,평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48932501
48862052,(주)리만코리아 경력직 채용 (서울/대구),주식회사 리만코리아,서울 강남구,경력 학력무관 정규직·계약직,~ 09/24(화),상품기획·MD 스크랩 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48862052
48846470,2024년 (주)더캐리 IT인력(정보혁신부) 전 부문 공개채용,(주)더캐리,서울 강남구,경력무관 대졸↑ 정규직,~ 09/19(목),인기있는,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48846470
48919858,H&iruja 신입/경력 채용,(주)에이치앤이루자,충남 아산시,신입·경력 고졸↑ 정규직·계약직,~ 09/20(금),디자인 조회 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48919858
48496277,㈜푸드테크 하반기 신입/경력 전부문 채용,(주)푸드테크,서울 강남구,신입·경력 초대졸↑ 정규직,~ 09/30(월),상품기획·MD 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48496277
48939552,2024 하반기 KAI 신입사원 공개채용,한국항공우주산업(주),서울 중구,신입 대졸↑ 정규직,~ 09/26(목),IT개발·데이터 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48939552
49014272,[유라코퍼레이션] 9월 R&D부문 수시 채용 (신입/경력),(주)유라코퍼레이션,경기 성남시 분당구,경력무관 대졸↑ 정규직,~ 09/26(목),평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49014272
48746826,2024 신입/경력 공개채용,(주)래피젠,경기 수원시 권선구,신입·경력 초대졸↑ 정규직,~ 10/04(금),운전·운송·배송 스크랩 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48746826
49009430,2025년도 상반기 금융결제원 신입직원 채용 공고,(사)금융결제원,서울 강남구,경력무관 학력무관 정규직,~ 09/27(금),기획·전략 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49009430
